"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-79.94","43.17","HAMILTON A","6153193","2022-02-02","2022","02","02","","3.2","","-3.5","","-0.2","","18.2","","0.0","","6.6","","6.0","","12.6","","3","","2","","46",""
"-79.94","43.17","HAMILTON A","6153193","2022-02-03","2022","02","03","","-3.4","","-10.8","","-7.1","","25.1","","0.0","","0.0","","7.4","","8.0","","8","","2","","51",""
"-79.94","43.17","HAMILTON A","6153193","2022-02-04","2022","02","04","","-8.4","","-15.0","","-11.7","","29.7","","0.0","","0.0","","0.4","","0.4","","15","","3","","41",""
"-79.94","43.17","HAMILTON A","6153193","2022-02-05","2022","02","05","","-8.7","","-17.4","","-13.1","","31.1","","0.0","","0.0","","0.0","T","0.0","T","15","","","M","","M"
"-79.94","43.17","HAMILTON A","6153193","2022-02-06","2022","02","06","","-1.6","","-11.1","","-6.4","","24.4","","0.0","","0.0","","0.0","","0.0","","15","","20","","48",""
"-79.94","43.17","HAMILTON A","6153193","2022-02-07","2022","02","07","","1.8","","-5.0","","-1.6","","19.6","","0.0","","0.0","","0.0","T","0.0","T","11","","22","","39",""
"-79.94","43.17","HAMILTON A","6153193","2022-02-08","2022","02","08","","-1.2","","-9.2","","-5.2","","23.2","","0.0","","0.0","","0.2","","0.0","T","7","","24","","43",""
"-79.94","43.17","HAMILTON A","6153193","2022-02-09","2022","02","09","","5.0","","-6.8","","-0.9","","18.9","","0.0","","0.0","","0.0","T","0.0","T","6","","21","","51",""
"-79.94","43.17","HAMILTON A","6153193","2022-02-10","2022","02","10","","1.3","","-1.4","","-0.1","","18.1","","0.0","","0.0","","0.4","","0.4","","6","","27","","50",""
"-79.94","43.17","HAMILTON A","6153193","2022-02-11","2022","02","11","","3.0","","-3.1","","-0.1","","18.1","","0.0","","5.6","","0.0","T","5.6","","4","","22","","59",""
"-79.94","43.17","HAMILTON A","6153193","2022-02-12","2022","02","12","","1.6","","-13.0","","-5.7","","23.7","","0.0","","0.0","","0.0","T","0.0","T","2","","29","","57",""
"-79.94","43.17","HAMILTON A","6153193","2022-02-13","2022","02","13","","-9.1","","-14.1","","-11.6","","29.6","","0.0","","0.0","","0.0","T","0.0","T","2","","","M","","M"
"-79.94","43.17","HAMILTON A","6153193","2022-02-14","2022","02","14","","-9.2","","-19.1","","-14.2","","32.2","","0.0","","0.0","","0.0","T","0.0","T","2","","","M","","M"
"-79.94","43.17","HAMILTON A","6153193","2022-02-15","2022","02","15","","-3.7","","-13.8","","-8.8","","26.8","","0.0","","0.0","","0.0","T","0.0","T","2","E","","M","","M"
"-79.94","43.17","HAMILTON A","6153193","2022-02-16","2022","02","16","","8.9","","-8.9","","0.0","","18.0","","0.0","","0.4","","0.0","","0.4","","2","","22","","59",""
"-79.94","43.17","HAMILTON A","6153193","2022-02-17","2022","02","17","","","","","","","","","","","","","","","","","","","","","","",""
"-79.94","43.17","HAMILTON A","6153193","2022-02-18","2022","02","18","","","","","","","","","","","","","","","","","","","","","","",""
"-79.94","43.17","HAMILTON A","6153193","2022-02-19","2022","02","19","","","","","","","","","","","","","","","","","","","","","","",""
"-79.94","43.17","HAMILTON A","6153193","2022-02-20","2022","02","20","","","","","","","","","","","","","","","","","","","","","","",""
"-79.94","43.17","HAMILTON A","6153193","2022-02-21","2022","02","21","","","","","","","","","","","","","","","","","","","","","","",""
"-79.94","43.17","HAMILTON A","6153193","2022-02-22","2022","02","22","","","","","","","","","","","","","","","","","","","","","","",""
"-79.94","43.17","HAMILTON A","6153193","2022-02-23","2022","02","23","","","","","","","","","","","","","","","","","","","","","","",""
"-79.94","43.17","HAMILTON A","6153193","2022-02-24","2022","02","24","","","","","","","","","","","","","","","","","","","","","","",""
"-79.94","43.17","HAMILTON A","6153193","2022-02-25","2022","02","25","","","","","","","","","","","","","","","","","","","","","","",""
"-79.94","43.17","HAMILTON A","6153193","2022-02-26","2022","02","26","","","","","","","","","","","","","","","","","","","","","","",""
"-79.94","43.17","HAMILTON A","6153193","2022-02-27","2022","02","27","","","","","","","","","","","","","","","","","","","","","","",""
"-79.94","43.17","HAMILTON A","6153193","2022-02-28","2022","02","28","","","","","","","","","","","","","","","","","","","","","","",""
"-79.94","43.17","HAMILTON A","6153193","2022-03-01","2022","03","01","","","","","","","","","","","","","","","","","","","","","","",""
"-79.94","43.17","HAMILTON A","6153193","2022-03-02","2022","03","02","","","","","","","","","","","","","","","","","","","","","","",""
"-79.94","43.17","HAMILTON A","6153193","2022-03-03","2022","03","03","","","","","","","","","","","","","","","","","","","","","","",""
"-79.94","43.17","HAMILTON A","6153193","2022-03-04","2022","03","04","","","","","","","","","","","","","","","","","","","","","","",""
"-79.94","43.17","HAMILTON A","6153193","2022-03-05","2022","03","05","","","","","","","","","","","","","","","","","","","","","","",""
"-79.94","43.17","HAMILTON A","6153193","2022-03-06","2022","03","06","","","","","","","","","","","","","","","","","","","","","","",""
"-79.94","43.17","HAMILTON A","6153193","2022-03-07","2022","03","07","","","","","","","","","","","","","","","","","","","","","","",""
"-79.94","43.17","HAMILTON A","6153193","2022-03-08","2022","03","08","","","","","","","","","","","","","","","","","","","","","","",""
"-79.94","43.17","HAMILTON A","6153193","2022-03-09","2022","03","09","","","","","","","","","","","","","","","","","","","","","","",""
"-79.94","43.17","HAMILTON A","6153193","2022-03-10","2022","03","10","","","","","","","","","","","","","","","","","","","","","","",""
"-79.94","43.17","HAMILTON A","6153193","2022-03-11","2022","03","11","","","","","","","","","","","","","","","","","","","","","","",""
"-79.94","43.17","HAMILTON A","6153193","2022-03-12","2022","03","12","","","","","","","","","","","","","","","","","","","","","","",""
"-79.94","43.17","HAMILTON A","6153193","2022-03-13","2022","03","13","","","","","","","","","","","","","","","","","","","","","","",""
"-79.94","43.17","HAMILTON A","6153193","2022-03-14","2022","03","14","","","","","","","","","","","","","","","","","","","","","","",""
"-79.94","43.17","HAMILTON A","6153193","2022-03-15","2022","03","15","","","","","","","","","","","","","","","","","","","","","","",""
"-79.94","43.17","HAMILTON A","6153193","2022-03-16","2022","03","16","","","","","","","","","","","","","","","","","","","","","","",""
"-79.94","43.17","HAMILTON A","6153193","2022-03-17","2022","03","17","","","","","","","","","","","","","","","","","","","","","","",""
"-79.94","43.17","HAMILTON A","6153193","2022-03-18","2022","03","18","","","","","","","","","","","","","","","","","","","","","","",""
"-79.94","43.17","HAMILTON A","6153193","2022-03-19","2022","03","19","","","","","","","","","","","","","","","","","","","","","","",""
"-79.94","43.17","HAMILTON A","6153193","2022-03-20","2022","03","20","","","","","","","","","","","","","","","","","","","","","","",""
"-79.94","43.17","HAMILTON A","6153193","2022-03-21","2022","03","21","","","","","","","","","","","","","","","","","","","","","","",""
"-79.94","43.17","HAMILTON A","6153193","2022-03-22","2022","03","22","","","","","","","","","","","","","","","","","","","","","","",""
"-79.94","43.17","HAMILTON A","6153193","2022-03-23","2022","03","23","","","","","","","","","","","","","","","","","","","","","","",""
"-79.94","43.17","HAMILTON A","6153193","2022-03-24","2022","03","24","","","","","","","","","","","","","","","","","","","","","","",""
"-79.94","43.17","HAMILTON A","6153193","2022-03-25","2022","03","25","","","","","","","","","","","","","","","","","","","","","","",""
"-79.94","43.17","HAMILTON A","6153193","2022-03-26","2022","03","26","","","","","","","","","","","","","","","","","","","","","","",""
"-79.94","43.17","HAMILTON A","6153193","2022-03-27","2022","03","27","","","","","","","","","","","","","","","","","","","","","","",""
"-79.94","43.17","HAMILTON A","6153193","2022-03-28","2022","03","28","","","","","","","","","","","","","","","","","","","","","","",""
"-79.94","43.17","HAMILTON A","6153193","2022-03-29","2022","03","29","","","","","","","","","","","","","","","","","","","","","","",""
"-79.94","43.17","HAMILTON A","6153193","2022-03-30","2022","03","30","","","","","","","","","","","","","","","","","","","","","","",""
"-79.94","43.17","HAMILTON A","6153193","2022-03-31","2022","03","31","","","","","","","","","","","","","","","","","","","","","","",""
"-79.94","43.17","HAMILTON A","6153193","2022-04-01","2022","04","01","","","","","","","","","","","","","","","","","","","","","","",""
"-79.94","43.17","HAMILTON A","6153193","2022-04-02","2022","04","02","","","","","","","","","","","","","","","","","","","","","","",""
"-79.94","43.17","HAMILTON A","6153193","2022-04-03","2022","04","03","","","","","","","","","","","","","","","","","","","","","","",""
"-79.94","43.17","HAMILTON A","6153193","2022-04-04","2022","04","04","","","","","","","","","","","","","","","","","","","","","","",""
"-79.94","43.17","HAMILTON A","6153193","2022-04-05","2022","04","05","","","","","","","","","","","","","","","","","","","","","","",""
"-79.94","43.17","HAMILTON A","6153193","2022-04-06","2022","04","06","","","","","","","","","","","","","","","","","","","","","","",""
"-79.94","43.17","HAMILTON A","6153193","2022-04-07","2022","04","07","","","","","","","","","","","","","","","","","","","","","","",""
"-79.94","43.17","HAMILTON A","6153193","2022-04-08","2022","04","08","","","","","","","","","","","","","","","","","","","","","","",""
"-79.94","43.17","HAMILTON A","6153193","2022-04-09","2022","04","09","","","","","","","","","","","","","","","","","","","","","","",""
"-79.94","43.17","HAMILTON A","6153193","2022-04-10","2022","04","10","","","","","","","","","","","","","","","","","","","","","","",""
"-79.94","43.17","HAMILTON A","6153193","2022-04-11","2022","04","11","","","","","","","","","","","","","","","","","","","","","","",""
"-79.94","43.17","HAMILTON A","6153193","2022-04-12","2022","04","12","","","","","","","","","","","","","","","","","","","","","","",""
"-79.94","43.17","HAMILTON A","6153193","2022-04-13","2022","04","13","","","","","","","","","","","","","","","","","","","","","","",""
"-79.94","43.17","HAMILTON A","6153193","2022-04-14","2022","04","14","","","","","","","","","","","","","","","","","","","","","","",""
"-79.94","43.17","HAMILTON A","6153193","2022-04-15","2022","04","15","","","","","","","","","","","","","","","","","","","","","","",""
"-79.94","43.17","HAMILTON A","6153193","2022-04-16","2022","04","16","","","","","","","","","","","","","","","","","","","","","","",""
"-79.94","43.17","HAMILTON A","6153193","2022-04-17","2022","04","17","","","","","","","","","","","","","","","","","","","","","","",""
"-79.94","43.17","HAMILTON A","6153193","2022-04-18","2022","04","18","","","","","","","","","","","","","","","","","","","","","","",""
"-79.94","43.17","HAMILTON A","6153193","2022-04-19","2022","04","19","","","","","","","","","","","","","","","","","","","","","","",""
"-79.94","43.17","HAMILTON A","6153193","2022-04-20","2022","04","20","","","","","","","","","","","","","","","","","","","","","","",""
"-79.94","43.17","HAMILTON A","6153193","2022-04-21","2022","04","21","","","","","","","","","","","","","","","","","","","","","","",""
"-79.94","43.17","HAMILTON A","6153193","2022-04-22","2022","04","22","","","","","","","","","","","","","","","","","","","","","","",""
"-79.94","43.17","HAMILTON A","6153193","2022-04-23","2022","04","23","","","","","","","","","","","","","","","","","","","","","","",""
"-79.94","43.17","HAMILTON A","6153193","2022-04-24","2022","04","24","","","","","","","","","","","","","","","","","","","","","","",""
"-79.94","43.17","HAMILTON A","6153193","2022-04-25","2022","04","25","","","","","","","","","","","","","","","","","","","","","","",""
"-79.94","43.17","HAMILTON A","6153193","2022-04-26","2022","04","26","","","","","","","","","","","","","","","","","","","","","","",""
"-79.94","43.17","HAMILTON A","6153193","2022-04-27","2022","04","27","","","","","","","","","","","","","","","","","","","","","","",""
"-79.94","43.17","HAMILTON A","6153193","2022-04-28","2022","04","28","","","","","","","","","","","","","","","","","","","","","","",""
"-79.94","43.17","HAMILTON A","6153193","2022-04-29","2022","04","29","","","","","","","","","","","","","","","","","","","","","","",""
"-79.94","43.17","HAMILTON A","6153193","2022-04-30","2022","04","30","","","","","","","","","","","","","","","","","","","","","","",""
"-79.94","43.17","HAMILTON A","6153193","2022-05-01","2022","05","01","","","","","","","","","","","","","","","","","","","","","","",""
"-79.94","43.17","HAMILTON A","6153193","2022-05-02","2022","05","02","","","","","","","","","","","","","","","","","","","","","","",""
"-79.94","43.17","HAMILTON A","6153193","2022-05-03","2022","05","03","","","","","","","","","","","","","","","","","","","","","","",""
"-79.94","43.17","HAMILTON A","6153193","2022-05-04","2022","05","04","","","","","","","","","","","","","","","","","","","","","","",""
"-79.94","43.17","HAMILTON A","6153193","2022-05-05","2022","05","05","","","","","","","","","","","","","","","","","","","","","","",""
"-79.94","43.17","HAMILTON A","6153193","2022-05-06","2022","05","06","","","","","","","","","","","","","","","","","","","","","","",""
"-79.94","43.17","HAMILTON A","6153193","2022-05-07","2022","05","07","","","","","","","","","","","","","","","","","","","","","","",""
"-79.94","43.17","HAMILTON A","6153193","2022-05-08","2022","05","08","","","","","","","","","","","","","","","","","","","","","","",""
"-79.94","43.17","HAMILTON A","6153193","2022-05-09","2022","05","09","","","","","","","","","","","","","","","","","","","","","","",""
"-79.94","43.17","HAMILTON A","6153193","2022-05-10","2022","05","10","","","","","","","","","","","","","","","","","","","","","","",""
"-79.94","43.17","HAMILTON A","6153193","2022-05-11","2022","05","11","","","","","","","","","","","","","","","","","","","","","","",""
"-79.94","43.17","HAMILTON A","6153193","2022-05-12","2022","05","12","","","","","","","","","","","","","","","","","","","","","","",""
"-79.94","43.17","HAMILTON A","6153193","2022-05-13","2022","05","13","","","","","","","","","","","","","","","","","","","","","","",""
"-79.94","43.17","HAMILTON A","6153193","2022-05-14","2022","05","14","","","","","","","","","","","","","","","","","","","","","","",""
"-79.94","43.17","HAMILTON A","6153193","2022-05-15","2022","05","15","","","","","","","","","","","","","","","","","","","","","","",""
"-79.94","43.17","HAMILTON A","6153193","2022-05-16","2022","05","16","","","","","","","","","","","","","","","","","","","","","","",""
"-79.94","43.17","HAMILTON A","6153193","2022-05-17","2022","05","17","","","","","","","","","","","","","","","","","","","","","","",""
"-79.94","43.17","HAMILTON A","6153193","2022-05-18","2022","05","18","","","","","","","","","","","","","","","","","","","","","","",""
"-79.94","43.17","HAMILTON A","6153193","2022-05-19","2022","05","19","","","","","","","","","","","","","","","","","","","","","","",""
"-79.94","43.17","HAMILTON A","6153193","2022-05-20","2022","05","20","","","","","","","","","","","","","","","","","","","","","","",""
"-79.94","43.17","HAMILTON A","6153193","2022-05-21","2022","05","21","","","","","","","","","","","","","","","","","","","","","","",""
"-79.94","43.17","HAMILTON A","6153193","2022-05-22","2022","05","22","","","","","","","","","","","","","","","","","","","","","","",""
"-79.94","43.17","HAMILTON A","6153193","2022-05-23","2022","05","23","","","","","","","","","","","","","","","","","","","","","","",""
"-79.94","43.17","HAMILTON A","6153193","2022-05-24","2022","05","24","","","","","","","","","","","","","","","","","","","","","","",""
"-79.94","43.17","HAMILTON A","6153193","2022-05-25","2022","05","25","","","","","","","","","","","","","","","","","","","","","","",""
"-79.94","43.17","HAMILTON A","6153193","2022-05-26","2022","05","26","","","","","","","","","","","","","","","","","","","","","","",""
"-79.94","43.17","HAMILTON A","6153193","2022-05-27","2022","05","27","","","","","","","","","","","","","","","","","","","","","","",""
"-79.94","43.17","HAMILTON A","6153193","2022-05-28","2022","05","28","","","","","","","","","","","","","","","","","","","","","","",""
"-79.94","43.17","HAMILTON A","6153193","2022-05-29","2022","05","29","","","","","","","","","","","","","","","","","","","","","","",""
"-79.94","43.17","HAMILTON A","6153193","2022-05-30","2022","05","30","","","","","","","","","","","","","","","","","","","","","","",""
"-79.94","43.17","HAMILTON A","6153193","2022-05-31","2022","05","31","","","","","","","","","","","","","","","","","","","","","","",""
"-79.94","43.17","HAMILTON A","6153193","2022-06-01","2022","06","01","","","","","","","","","","","","","","","","","","","","","","",""
"-79.94","43.17","HAMILTON A","6153193","2022-06-02","2022","06","02","","","","","","","","","","","","","","","","","","","","","","",""
"-79.94","43.17","HAMILTON A","6153193","2022-06-03","2022","06","03","","","","","","","","","","","","","","","","","","","","","","",""
"-79.94","43.17","HAMILTON A","6153193","2022-06-04","2022","06","04","","","","","","","","","","","","","","","","","","","","","","",""
"-79.94","43.17","HAMILTON A","6153193","2022-06-05","2022","06","05","","","","","","","","","","","","","","","","","","","","","","",""
"-79.94","43.17","HAMILTON A","6153193","2022-06-06","2022","06","06","","","","","","","","","","","","","","","","","","","","","","",""
"-79.94","43.17","HAMILTON A","6153193","2022-06-07","2022","06","07","","","","","","","","","","","","","","","","","","","","","","",""
"-79.94","43.17","HAMILTON A","6153193","2022-06-08","2022","06","08","","","","","","","","","","","","","","","","","","","","","","",""
"-79.94","43.17","HAMILTON A","6153193","2022-06-09","2022","06","09","","","","","","","","","","","","","","","","","","","","","","",""
"-79.94","43.17","HAMILTON A","6153193","2022-06-10","2022","06","10","","","","","","","","","","","","","","","","","","","","","","",""
"-79.94","43.17","HAMILTON A","6153193","2022-06-11","2022","06","11","","","","","","","","","","","","","","","","","","","","","","",""
"-79.94","43.17","HAMILTON A","6153193","2022-06-12","2022","06","12","","","","","","","","","","","","","","","","","","","","","","",""
"-79.94","43.17","HAMILTON A","6153193","2022-06-13","2022","06","13","","","","","","","","","","","","","","","","","","","","","","",""
"-79.94","43.17","HAMILTON A","6153193","2022-06-14","2022","06","14","","","","","","","","","","","","","","","","","","","","","","",""
"-79.94","43.17","HAMILTON A","6153193","2022-06-15","2022","06","15","","","","","","","","","","","","","","","","","","","","","","",""
"-79.94","43.17","HAMILTON A","6153193","2022-06-16","2022","06","16","","","","","","","","","","","","","","","","","","","","","","",""
"-79.94","43.17","HAMILTON A","6153193","2022-06-17","2022","06","17","","","","","","","","","","","","","","","","","","","","","","",""
"-79.94","43.17","HAMILTON A","6153193","2022-06-18","2022","06","18","","","","","","","","","","","","","","","","","","","","","","",""
"-79.94","43.17","HAMILTON A","6153193","2022-06-19","2022","06","19","","","","","","","","","","","","","","","","","","","","","","",""
"-79.94","43.17","HAMILTON A","6153193","2022-06-20","2022","06","20","","","","","","","","","","","","","","","","","","","","","","",""
"-79.94","43.17","HAMILTON A","6153193","2022-06-21","2022","06","21","","","","","","","","","","","","","","","","","","","","","","",""
"-79.94","43.17","HAMILTON A","6153193","2022-06-22","2022","06","22","","","","","","","","","","","","","","","","","","","","","","",""
"-79.94","43.17","HAMILTON A","6153193","2022-06-23","2022","06","23","","","","","","","","","","","","","","","","","","","","","","",""
"-79.94","43.17","HAMILTON A","6153193","2022-06-24","2022","06","24","","","","","","","","","","","","","","","","","","","","","","",""
"-79.94","43.17","HAMILTON A","6153193","2022-06-25","2022","06","25","","","","","","","","","","","","","","","","","","","","","","",""
"-79.94","43.17","HAMILTON A","6153193","2022-06-26","2022","06","26","","","","","","","","","","","","","","","","","","","","","","",""
"-79.94","43.17","HAMILTON A","6153193","2022-06-27","2022","06","27","","","","","","","","","","","","","","","","","","","","","","",""
"-79.94","43.17","HAMILTON A","6153193","2022-06-28","2022","06","28","","","","","","","","","","","","","","","","","","","","","","",""
"-79.94","43.17","HAMILTON A","6153193","2022-06-29","2022","06","29","","","","","","","","","","","","","","","","","","","","","","",""
"-79.94","43.17","HAMILTON A","6153193","2022-06-30","2022","06","30","","","","","","","","","","","","","","","","","","","","","","",""
"-79.94","43.17","HAMILTON A","6153193","2022-07-01","2022","07","01","","","","","","","","","","","","","","","","","","","","","","",""
"-79.94","43.17","HAMILTON A","6153193","2022-07-02","2022","07","02","","","","","","","","","","","","","","","","","","","","","","",""
"-79.94","43.17","HAMILTON A","6153193","2022-07-03","2022","07","03","","","","","","","","","","","","","","","","","","","","","","",""
"-79.94","43.17","HAMILTON A","6153193","2022-07-04","2022","07","04","","","","","","","","","","","","","","","","","","","","","","",""
"-79.94","43.17","HAMILTON A","6153193","2022-07-05","2022","07","05","","","","","","","","","","","","","","","","","","","","","","",""
"-79.94","43.17","HAMILTON A","6153193","2022-07-06","2022","07","06","","","","","","","","","","","","","","","","","","","","","","",""
"-79.94","43.17","HAMILTON A","6153193","2022-07-07","2022","07","07","","","","","","","","","","","","","","","","","","","","","","",""
"-79.94","43.17","HAMILTON A","6153193","2022-07-08","2022","07","08","","","","","","","","","","","","","","","","","","","","","","",""
"-79.94","43.17","HAMILTON A","6153193","2022-07-09","2022","07","09","","","","","","","","","","","","","","","","","","","","","","",""
"-79.94","43.17","HAMILTON A","6153193","2022-07-10","2022","07","10","","","","","","","","","","","","","","","","","","","","","","",""
"-79.94","43.17","HAMILTON A","6153193","2022-07-11","2022","07","11","","","","","","","","","","","","","","","","","","","","","","",""
"-79.94","43.17","HAMILTON A","6153193","2022-07-12","2022","07","12","","","","","","","","","","","","","","","","","","","","","","",""
"-79.94","43.17","HAMILTON A","6153193","2022-07-13","2022","07","13","","","","","","","","","","","","","","","","","","","","","","",""
"-79.94","43.17","HAMILTON A","6153193","2022-07-14","2022","07","14","","","","","","","","","","","","","","","","","","","","","","",""
"-79.94","43.17","HAMILTON A","6153193","2022-07-15","2022","07","15","","","","","","","","","","","","","","","","","","","","","","",""
"-79.94","43.17","HAMILTON A","6153193","2022-07-16","2022","07","16","","","","","","","","","","","","","","","","","","","","","","",""
"-79.94","43.17","HAMILTON A","6153193","2022-07-17","2022","07","17","","","","","","","","","","","","","","","","","","","","","","",""
"-79.94","43.17","HAMILTON A","6153193","2022-07-18","2022","07","18","","","","","","","","","","","","","","","","","","","","","","",""
